Ndex,pokemon_name,pokemon_height,pokemon_weight,t1,t2,color,evolution
#616,Shelmet,0.4 m,7.7 kg,Bug,Unknown,Red,Accelgor
#613,Cubchoo,0.5 m,8.5 kg,Ice,Unknown,White,Beartic
#615,Cryogonal,1.1 m,148.0 kg,Ice,Unknown,Blue,Final
#612,Haxorus,1.8 m,105.5 kg,Dragon,Unknown,Yellow,Final
#614,Beartic,2.6 m,260.0 kg,Ice,Unknown,White,Final
#611,Fraxure,1.0 m,36.0 kg,Dragon,Unknown,Green,Haxorus
#604,Eelektross,2.1 m,80.5 kg,Electric,Unknown,Blue,Final
#610,Axew,0.6 m,18.0 kg,Dragon,Unknown,Green,Fraxure
#609,Chandelure,1.0 m,34.3 kg,Ghost,Fire,Black,Final
#608,Lampent,0.6 m,13.0 kg,Ghost,Fire,Black,Chandelure
#607,Litwick,0.3 m,3.1 kg,Ghost,Fire,White,Lampent
#606,Beheeyem,1.0 m,34.5 kg,Psychic,Unknown,Brown,Final
#605,Elgyem,0.5 m,9.0 kg,Psychic,Unknown,Blue,Beheeyem
#602,Tynamo,0.2 m,0.3 kg,Electric,Unknown,White,Eelektrik
#603,Eelektrik,1.2 m,22.0 kg,Electric,Unknown,Blue,Eelektross
#601,Klinklang,0.6 m,81.0 kg,Steel,Unknown,Gray,Final
#600,Klang,0.6 m,51.0 kg,Steel,Unknown,Gray,Klinklang
#599,Klink,0.3 m,21.0 kg,Steel,Unknown,Gray,Klang
#598,Ferrothorn,1.0 m,110.0 kg,Grass,Steel,Gray,Final
#597,Ferroseed,0.6 m,18.8 kg,Grass,Steel,Gray,Ferrothorn
#596,Galvantula,0.8 m,14.3 kg,Bug,Electric,Yellow,Final
#594,Alomomola,1.2 m,31.6 kg,Water,Unknown,Pink,Final
#593,Jellicent,2.2 m,135.0 kg,Water,Ghost,White,Final
#592,Frillish,1.2 m,33.0 kg,Water,Ghost,White,Jellicent
#591,Amoonguss,0.6 m,10.5 kg,Grass,Poison,White,Final
#589,Escavalier,1.0 m,33.0 kg,Bug,Steel,Gray,Final
#588,Karrablast,0.5 m,5.9 kg,Bug,Unknown,Blue,Escavalier
#595,Joltik,0.1 m,0.6 kg,Bug,Electric,Yellow,Galvantula
#590,Foongus,0.2 m,1.0 kg,Grass,Poison,White,Amoonguss
#581,Swanna,1.3 m,24.2 kg,Water,Flying,White,Final
#587,Emolga,0.4 m,5.0 kg,Electric,Flying,White,Final
#586,Sawsbuck,1.9 m,92.5 kg,Normal,Grass,Brown,Final
#584,Vanilluxe,1.3 m,57.5 kg,Ice,Unknown,White,Final
#585,Deerling,0.6 m,19.5 kg,Normal,Grass,Pink,Sawsbuck
#580,Ducklett,0.5 m,5.5 kg,Water,Flying,Blue,Swanna
#583,Vanillish,1.1 m,41.0 kg,Ice,Unknown,White,Vanilluxe
#582,Vanillite,0.4 m,5.7 kg,Ice,Unknown,White,Final
#579,Reuniclus,1.0 m,20.1 kg,Psychic,Unknown,Green,Final
#578,Duosion,0.6 m,8.0 kg,Psychic,Unknown,Green,Reuniclus
#577,Solosis,0.3 m,1.0 kg,Psychic,Unknown,Green,Duosion
#576,Gothitelle,1.5 m,44.0 kg,Psychic,Unknown,Purple,Final
#575,Gothorita,0.7 m,18.0 kg,Psychic,Unknown,Purple,Gothitelle
#574,Gothita,0.4 m,5.8 kg,Psychic,Unknown,Purple,Gothorita
#573,Cinccino,0.5 m,7.5 kg,Normal,Unknown,Gray,Final
#572,Minccino,0.4 m,5.8 kg,Normal,Unknown,Gray,Cinccino
#570,Zorua,0.7 m,12.5 kg,Dark,Unknown,Gray,Zoroark
#569,Garbodor,1.9 m,107.3 kg,Poison,Unknown,Green,Final
#568,Trubbish,0.6 m,31.0 kg,Poison,Unknown,Green,Garbodor
#567,Archeops,1.4 m,32.0 kg,Rock,Flying,Yellow,Final
#565,Carracosta,1.2 m,81.0 kg,Water,Rock,Blue,Final
#571,Zoroark,1.6 m,81.1 kg,Dark,Unknown,Gray,Final
#566,Archen,0.5 m,9.5 kg,Rock,Flying,Yellow,Archeops
#564,Tirtouga,0.7 m,16.5 kg,Water,Rock,Blue,Carracosta
#563,Cofagrigus,1.7 m,76.5 kg,Ghost,Unknown,Yellow,Final
#562,Yamask,0.5 m,1.5 kg,Ghost,Unknown,Black,Cofagrigus;Runerigus
#561,Sigilyph,1.4 m,14.0 kg,Psychic,Flying,Black,Final
#560,Scrafty,1.1 m,30.0 kg,Dark,Fighting,Red,Final
#556,Maractus,1.0 m,28.0 kg,Grass,Unknown,Green,Final
#559,Scraggy,0.6 m,11.8 kg,Dark,Fighting,Yellow,Scrafty
#558,Crustle,1.4 m,200.0 kg,Bug,Rock,Red,Final
#557,Dwebble,0.3 m,14.5 kg,Bug,Rock,Red,Crustle
#549,Lilligant,1.1 m,16.3 kg,Grass,Unknown,Green,Final
#555,Darmanitan,1.3 m,92.9 kg,Fire,Unknown,Red,Final
#554,Darumaka,0.6 m,37.5 kg,Fire,Unknown,Red,Galarian Darmanitan;Darmanitan
#553,Krookodile,1.5 m,96.3 kg,Ground,Dark,Red,Final
#548,Petilil,0.5 m,6.6 kg,Grass,Unknown,Green,Lilligant
#552,Krokorok,1.0 m,33.4 kg,Ground,Dark,Brown,Krookodile
#551,Sandile,0.7 m,15.2 kg,Ground,Dark,Brown,Krokorok
#550,Basculin,1.0 m,18.0 kg,Water,Unknown,Green,Final
#547,Whimsicott,0.7 m,6.6 kg,Grass,Fairy,Green,Final
#546,Cottonee,0.3 m,0.6 kg,Grass,Fairy,Green,Whimsicott
#545,Scolipede,2.5 m,200.5 kg,Bug,Poison,Red,Final
#544,Whirlipede,1.2 m,58.5 kg,Bug,Poison,Gray,Scolipede
#542,Leavanny,1.2 m,20.5 kg,Bug,Grass,Yellow,Final
#543,Venipede,0.4 m,5.3 kg,Bug,Poison,Red,Whirlipede
#541,Swadloon,0.5 m,7.3 kg,Bug,Grass,Green,Leavanny
#540,Sewaddle,0.3 m,2.5 kg,Bug,Grass,Yellow,Swadloon
#538,Throh,1.3 m,55.5 kg,Fighting,Unknown,Red,Final
#537,Seismitoad,1.5 m,62.0 kg,Water,Ground,Blue,Final
#535,Tympole,0.5 m,4.5 kg,Water,Unknown,Blue,Palpitoad
#532,Timburr,0.6 m,12.5 kg,Fighting,Unknown,Gray,Gurdurr
#539,Sawk,1.4 m,51.0 kg,Fighting,Unknown,Blue,Final
#534,Conkeldurr,1.4 m,87.0 kg,Fighting,Unknown,Brown,Final
#536,Palpitoad,0.8 m,17.0 kg,Water,Ground,Blue,Seismitoad
#533,Gurdurr,1.2 m,40.0 kg,Fighting,Unknown,Gray,Conkeldurr
#527,Woobat,0.4 m,2.1 kg,Psychic,Flying,Blue,Swoobat
#531,Audino,1.1 m,31.0 kg,Normal,Unknown,Pink,Final
#530,Excadrill,0.7 m,40.4 kg,Ground,Steel,Gray,Final
#529,Drilbur,0.3 m,8.5 kg,Ground,Unknown,Gray,Excadrill
#526,Gigalith,1.7 m,260.0 kg,Rock,Unknown,Blue,Final
#528,Swoobat,0.9 m,10.5 kg,Psychic,Flying,Blue,Final
#523,Zebstrika,1.6 m,79.5 kg,Electric,Unknown,Black,Final
#522,Blitzle,0.8 m,29.8 kg,Electric,Unknown,Black,Zebstrika
#521,Unfezant,1.2 m,29.0 kg,Normal,Flying,Gray,Final
#525,Boldore,0.9 m,102.0 kg,Rock,Unknown,Blue,Gigalith
#520,Tranquill,0.6 m,15.0 kg,Normal,Flying,Gray,Unfezant
#519,Pidove,0.3 m,2.1 kg,Normal,Flying,Gray,Tranquill
#524,Roggenrola,0.4 m,18.0 kg,Rock,Unknown,Blue,Boldore
#518,Musharna,1.1 m,60.5 kg,Psychic,Unknown,Pink,Final
#517,Munna,0.6 m,23.3 kg,Psychic,Unknown,Pink,Musharna
#516,Simipour,1.0 m,29.0 kg,Water,Unknown,Blue,Final
#515,Panpour,0.6 m,13.5 kg,Water,Unknown,Blue,Simipour
#514,Simisear,1.0 m,28.0 kg,Fire,Unknown,Red,Final
#513,Pansear,0.6 m,11.0 kg,Fire,Unknown,Red,Simisear
#512,Simisage,1.1 m,30.5 kg,Grass,Unknown,Green,Final
#511,Pansage,0.6 m,10.5 kg,Grass,Unknown,Green,Simisage
#510,Liepard,1.1 m,37.5 kg,Dark,Unknown,Purple,Final
#508,Stoutland,1.2 m,61.0 kg,Normal,Unknown,Gray,Final
#507,Herdier,0.9 m,14.7 kg,Normal,Unknown,Gray,Stoutland
#506,Lillipup,0.4 m,4.1 kg,Normal,Unknown,Brown,Herdier
#505,Watchog,1.1 m,27.0 kg,Normal,Unknown,Brown,Final
#504,Patrat,0.5 m,11.6 kg,Normal,Unknown,Brown,Watchog
#503,Samurott,1.5 m,94.6 kg,Water,Unknown,Blue,Final
#502,Dewott,0.8 m,24.5 kg,Water,Unknown,Blue,Samurott
#509,Purrloin,0.4 m,10.1 kg,Dark,Unknown,Purple,Liepard
#494,Victini,0.4 m,4.0 kg,Psychic,Fire,Yellow,Final
#501,Oshawott,0.5 m,5.9 kg,Water,Unknown,Blue,Dewott
#500,Emboar,1.6 m,150.0 kg,Fire,Fighting,Red,Final
#499,Pignite,1.0 m,55.5 kg,Fire,Fighting,Red,Emboar
#498,Tepig,0.5 m,9.9 kg,Fire,Unknown,Red,Pignite
#497,Serperior,3.3 m,63.0 kg,Grass,Unknown,Green,Final
#496,Servine,0.8 m,16.0 kg,Grass,Unknown,Green,Serperior
#495,Snivy,0.6 m,8.1 kg,Grass,Unknown,Green,Servine
#493,Arceus,3.2 m,320.0 kg,Normal,Unknown,White,Final
#492,Shaymin,0.2 m,2.1 kg,Grass,Unknown,Green,Final
#491,Darkrai,1.5 m,50.5 kg,Dark,Unknown,Black,Final
#490,Manaphy,0.3 m,1.4 kg,Water,Unknown,Blue,Final
#489,Phione,0.4 m,3.1 kg,Water,Unknown,Blue,Final
#488,Cresselia,1.5 m,85.6 kg,Psychic,Unknown,Yellow,Final
#487,Giratina,4.5 m,750.0 kg,Ghost,Dragon,Black,Final
#486,Regigigas,3.7 m,420.0 kg,Normal,Unknown,White,Final
#484,Palkia,4.2 m,336.0 kg,Water,Dragon,Purple,Final
#482,Azelf,0.3 m,0.3 kg,Psychic,Unknown,Blue,Final
#481,Mesprit,0.3 m,0.3 kg,Psychic,Unknown,Pink,Final
#480,Uxie,0.3 m,0.3 kg,Psychic,Unknown,Yellow,Final
#479,Rotom,0.3 m,0.3 kg,Electric,Ghost,Red,Final
#483,Dialga,5.4 m,683.0 kg,Steel,Dragon,White,Final
#478,Froslass,1.3 m,26.6 kg,Ice,Ghost,White,Final
#485,Heatran,1.7 m,430.0 kg,Fire,Steel,Brown,Final
#477,Dusknoir,2.2 m,106.6 kg,Ghost,Unknown,Black,Final
#476,Probopass,1.4 m,340.0 kg,Rock,Steel,Gray,Final
#475,Gallade,1.6 m,52.0 kg,Psychic,Fighting,White,Final
#474,Porygon-Z,0.9 m,34.0 kg,Normal,Unknown,Red,Final
#473,Mamoswine,2.5 m,291.0 kg,Ice,Ground,Brown,Final
#470,Leafeon,1.0 m,25.5 kg,Grass,Unknown,Green,Final
#472,Gliscor,2.0 m,42.5 kg,Ground,Flying,Purple,Final
#471,Glaceon,0.8 m,25.9 kg,Ice,Unknown,Blue,Final
#464,Rhyperior,2.4 m,282.8 kg,Ground,Rock,Gray,Final
#469,Yanmega,1.9 m,51.5 kg,Bug,Flying,Green,Final
#463,Lickilicky,1.7 m,140.0 kg,Normal,Unknown,Pink,Final
#468,Togekiss,1.5 m,38.0 kg,Fairy,Flying,White,Final
#467,Magmortar,1.6 m,68.0 kg,Fire,Unknown,Red,Final
#466,Electivire,1.8 m,138.6 kg,Electric,Unknown,Yellow,Final
#465,Tangrowth,2.0 m,128.6 kg,Grass,Unknown,Blue,Final
#462,Magnezone,1.2 m,180.0 kg,Electric,Steel,Gray,Final
#461,Weavile,1.1 m,34.0 kg,Dark,Ice,Black,Final
#460,Abomasnow,2.2 m,135.5 kg,Grass,Ice,White,Final
#459,Snover,1.0 m,50.5 kg,Grass,Ice,White,Abomasnow
#458,Mantyke,1.0 m,65.0 kg,Water,Flying,Blue,Mantine
#457,Lumineon,1.2 m,24.0 kg,Water,Unknown,Blue,Final
#456,Finneon,0.4 m,7.0 kg,Water,Unknown,Blue,Lumineon
#455,Carnivine,1.4 m,27.0 kg,Grass,Unknown,Green,Final
#454,Toxicroak,1.3 m,44.4 kg,Poison,Fighting,Blue,Final
#450,Hippowdon,2.0 m,300.0 kg,Ground,Unknown,Brown,Final
#449,Hippopotas,0.8 m,49.5 kg,Ground,Unknown,Brown,Hippowdon
#448,Lucario,1.2 m,54.0 kg,Fighting,Steel,Blue,Final
#447,Riolu,0.7 m,20.2 kg,Fighting,Unknown,Blue,Lucario
#452,Drapion,1.3 m,61.5 kg,Poison,Dark,Purple,Final
#453,Croagunk,0.7 m,23.0 kg,Poison,Fighting,Blue,Toxicroak
#446,Munchlax,0.6 m,105.0 kg,Normal,Unknown,Black,Snorlax
#441,Chatot,0.5 m,1.9 kg,Normal,Flying,Black,Final
#451,Skorupi,0.8 m,12.0 kg,Poison,Bug,Purple,Drapion
#445,Garchomp,1.9 m,95.0 kg,Dragon,Ground,Blue,Final
#444,Gabite,1.4 m,56.0 kg,Dragon,Ground,Blue,Garchomp
#442,Spiritomb,1.0 m,108.0 kg,Ghost,Dark,Purple,Final
#443,Gible,0.7 m,20.5 kg,Dragon,Ground,Blue,Gabite
#438,Bonsly,0.5 m,15.0 kg,Rock,Unknown,Brown,Sudowoodo
#440,Happiny,0.6 m,24.4 kg,Normal,Unknown,Pink,Chansey
#437,Bronzong,1.3 m,187.0 kg,Steel,Psychic,Green,Final
#436,Bronzor,0.5 m,60.5 kg,Steel,Psychic,Green,Bronzong
#435,Skuntank,1.0 m,38.0 kg,Poison,Dark,Purple,Final
#434,Stunky,0.4 m,19.2 kg,Poison,Dark,Purple,Skuntank
#439,Mime Jr.,0.6 m,13.0 kg,Psychic,Fairy,Pink,Galarian Mr. Mime;Mr. Mime
#433,Chingling,0.2 m,0.6 kg,Psychic,Unknown,Yellow,Chimecho
#432,Purugly,1.0 m,43.8 kg,Normal,Unknown,Gray,Final
#431,Glameow,0.5 m,3.9 kg,Normal,Unknown,Gray,Purugly
#429,Mismagius,0.9 m,4.4 kg,Ghost,Unknown,Purple,Final
#425,Drifloon,0.4 m,1.2 kg,Ghost,Flying,Purple,Drifblim
#430,Honchkrow,0.9 m,27.3 kg,Dark,Flying,Black,Final
#428,Lopunny,1.2 m,33.3 kg,Normal,Unknown,Brown,Final
#426,Drifblim,1.2 m,15.0 kg,Ghost,Flying,Purple,Final
#424,Ambipom,1.2 m,20.3 kg,Normal,Unknown,Purple,Final
#427,Buneary,0.4 m,5.5 kg,Normal,Unknown,Brown,Lopunny
#417,Pachirisu,0.4 m,3.9 kg,Electric,Unknown,White,Final
#423,Gastrodon,0.9 m,29.9 kg,Water,Ground,Purple,Final
#420,Cherubi,0.4 m,3.3 kg,Grass,Unknown,Pink,Cherrim
#422,Shellos,0.3 m,6.3 kg,Water,Unknown,Purple,Gastrodon
#419,Floatzel,1.1 m,33.5 kg,Water,Unknown,Brown,Final
#418,Buizel,0.7 m,29.5 kg,Water,Unknown,Brown,Floatzel
#421,Cherrim,0.5 m,9.3 kg,Grass,Unknown,Purple,Final
#416,Vespiquen,1.2 m,38.5 kg,Bug,Flying,Yellow,Vespiquen
#415,Combee,0.3 m,5.5 kg,Bug,Flying,Yellow,Vespiquen
#414,Mothim,0.9 m,23.3 kg,Bug,Flying,Yellow,Final
#413,Wormadam,0.5 m,6.5 kg,Bug,Grass,Green,Final
#412,Burmy,0.2 m,3.4 kg,Bug,Unknown,Green,Final
#411,Bastiodon,1.3 m,149.5 kg,Rock,Steel,Gray,Final
#410,Shieldon,0.5 m,57.0 kg,Rock,Steel,Gray,Bastiodon
#408,Cranidos,0.9 m,31.5 kg,Rock,Unknown,Blue,Rampardos
#409,Rampardos,1.6 m,102.5 kg,Rock,Unknown,Blue,Final
#407,Roserade,0.9 m,14.5 kg,Grass,Poison,Green,Final
#406,Budew,0.2 m,1.2 kg,Grass,Poison,Green,Roselia
#405,Luxray,1.4 m,42.0 kg,Electric,Unknown,Blue,Final
#404,Luxio,0.9 m,30.5 kg,Electric,Unknown,Blue,Luxray
#403,Shinx,0.5 m,9.5 kg,Electric,Unknown,Blue,Luxio
#402,Kricketune,1.0 m,25.5 kg,Bug,Unknown,Red,Final
#400,Bibarel,1.0 m,31.5 kg,Normal,Water,Brown,Final
#401,Kricketot,0.3 m,2.2 kg,Bug,Unknown,Red,Kricketune
#397,Staravia,0.6 m,15.5 kg,Normal,Flying,Brown,Staraptor
#396,Starly,0.3 m,2.0 kg,Normal,Flying,Brown,Staravia
#394,Prinplup,0.8 m,23.0 kg,Water,Unknown,Blue,Empoleon
#392,Infernape,1.2 m,55.0 kg,Fire,Fighting,Brown,Final
#395,Empoleon,1.7 m,84.5 kg,Water,Steel,Blue,Final
#399,Bidoof,0.5 m,20.0 kg,Normal,Unknown,Brown,Bibarel
#393,Piplup,0.4 m,5.2 kg,Water,Unknown,Blue,Prinplup
#387,Turtwig,0.4 m,10.2 kg,Grass,Unknown,Green,Grotle
#398,Staraptor,1.2 m,24.9 kg,Normal,Flying,Brown,Final
#391,Monferno,0.9 m,22.0 kg,Fire,Fighting,Brown,Infernape
#390,Chimchar,0.5 m,6.2 kg,Fire,Unknown,Brown,Monferno
#386,Deoxys,1.7 m,60.8 kg,Psychic,Unknown,Red,Final
#389,Torterra,2.2 m,310.0 kg,Grass,Ground,Green,Final
#385,Jirachi,0.3 m,1.1 kg,Steel,Psychic,Yellow,Final
#388,Grotle,1.1 m,97.0 kg,Grass,Unknown,Green,Torterra
#384,Rayquaza,7.0 m,206.5 kg,Dragon,Flying,Green,Final
#383,Groudon,3.5 m,950.0 kg,Ground,Unknown,Red,Final
#382,Kyogre,4.5 m,352.0 kg,Water,Unknown,Blue,Final
#381,Latios,2.0 m,60.0 kg,Dragon,Psychic,Blue,Final
#380,Latias,1.4 m,40.0 kg,Dragon,Psychic,Red,Final
#379,Registeel,1.9 m,205.0 kg,Steel,Unknown,Gray,Final
#378,Regice,1.8 m,175.0 kg,Ice,Unknown,Blue,Final
#377,Regirock,1.7 m,230.0 kg,Rock,Unknown,Brown,Final
#373,Salamence,1.5 m,102.6 kg,Dragon,Flying,Blue,Final
#371,Bagon,0.6 m,42.1 kg,Dragon,Unknown,Blue,Shelgon
#370,Luvdisc,0.6 m,8.7 kg,Water,Unknown,Pink,Final
#376,Metagross,1.6 m,550.0 kg,Steel,Psychic,Blue,Final
#375,Metang,1.2 m,202.5 kg,Steel,Psychic,Blue,Metagross
#374,Beldum,0.6 m,95.2 kg,Steel,Psychic,Blue,Metang
#372,Shelgon,1.1 m,110.5 kg,Dragon,Unknown,White,Salamence
#369,Relicanth,1.0 m,23.4 kg,Water,Rock,Gray,Final
#364,Sealeo,1.1 m,87.6 kg,Ice,Water,Blue,Walrein
#363,Spheal,0.8 m,39.5 kg,Ice,Water,Blue,Sealeo
#368,Gorebyss,1.8 m,22.6 kg,Water,Unknown,Pink,Final
#367,Huntail,1.7 m,27.0 kg,Water,Unknown,Blue,Final
#362,Glalie,1.5 m,256.5 kg,Ice,Unknown,Gray,Final
#366,Clamperl,0.4 m,52.5 kg,Water,Unknown,Blue,Gorebyss;Huntail
#361,Snorunt,0.7 m,16.8 kg,Ice,Unknown,Gray,Glalie
#365,Walrein,1.4 m,150.6 kg,Ice,Water,Blue,Final
#353,Shuppet,0.6 m,2.3 kg,Ghost,Unknown,Black,Banette
#360,Wynaut,0.6 m,14.0 kg,Psychic,Unknown,Blue,Wobbuffet
#358,Chimecho,0.6 m,1.0 kg,Psychic,Unknown,Blue,Final
#357,Tropius,2.0 m,100.0 kg,Grass,Flying,Green,Final
#356,Dusclops,1.6 m,30.6 kg,Ghost,Unknown,Black,Dusknoir
#355,Duskull,0.8 m,15.0 kg,Ghost,Unknown,Black,Dusclops
#354,Banette,1.1 m,12.5 kg,Ghost,Unknown,Black,Final
#359,Absol,1.2 m,47.0 kg,Dark,Unknown,White,Final
#352,Kecleon,1.0 m,22.0 kg,Normal,Unknown,Green,Final
#351,Castform,0.3 m,0.8 kg,Normal,Unknown,Gray,Final
#345,Lileep,1.0 m,23.8 kg,Rock,Grass,Purple,Cradily
#350,Milotic,6.2 m,162.0 kg,Water,Unknown,Pink,Final
#349,Feebas,0.6 m,7.4 kg,Water,Unknown,Brown,Milotic
#348,Armaldo,1.5 m,68.2 kg,Rock,Bug,Gray,Final
#347,Anorith,0.7 m,12.5 kg,Rock,Bug,Gray,Armaldo
#346,Cradily,1.5 m,60.4 kg,Rock,Grass,Green,Final
#343,Baltoy,0.5 m,21.5 kg,Ground,Psychic,Brown,Claydol
#341,Corphish,0.6 m,11.5 kg,Water,Unknown,Red,Crawdaunt
#339,Barboach,0.4 m,1.9 kg,Water,Ground,Gray,Whiscash
#340,Whiscash,0.9 m,23.6 kg,Water,Ground,Blue,Final
#337,Lunatone,1.0 m,168.0 kg,Rock,Psychic,Yellow,Final
#344,Claydol,1.5 m,108.0 kg,Ground,Psychic,Black,Final
#342,Crawdaunt,1.1 m,32.8 kg,Water,Dark,Red,Final
#338,Solrock,1.2 m,154.0 kg,Rock,Psychic,Red,Final
#331,Cacnea,0.4 m,51.3 kg,Grass,Unknown,Green,Cacturne
#336,Seviper,2.7 m,52.5 kg,Poison,Unknown,Black,Final
#330,Flygon,2.0 m,82.0 kg,Ground,Dragon,Green,Final
#335,Zangoose,1.3 m,40.3 kg,Normal,Unknown,White,Final
#333,Swablu,0.4 m,1.2 kg,Normal,Flying,Blue,Altaria
#334,Altaria,1.1 m,20.6 kg,Dragon,Flying,Blue,Final
#329,Vibrava,1.1 m,15.3 kg,Ground,Dragon,Green,Flygon
#332,Cacturne,1.3 m,77.4 kg,Grass,Dark,Green,Final
#327,Spinda,1.1 m,5.0 kg,Normal,Unknown,Brown,Final
#326,Grumpig,0.9 m,71.5 kg,Psychic,Unknown,Purple,Final
#325,Spoink,0.7 m,30.6 kg,Psychic,Unknown,Black,Grumpig
#324,Torkoal,0.5 m,80.4 kg,Fire,Unknown,Brown,Final
#323,Camerupt,1.9 m,220.0 kg,Fire,Ground,Red,Final
#322,Numel,0.7 m,24.0 kg,Fire,Ground,Yellow,Camerupt
#321,Wailord,14.5 m,398.0 kg,Water,Unknown,Blue,Final
#328,Trapinch,0.7 m,15.0 kg,Ground,Unknown,Brown,Vibrava
#320,Wailmer,2.0 m,130.0 kg,Water,Unknown,Blue,Wailord
#319,Sharpedo,1.8 m,88.8 kg,Water,Dark,Blue,Final
#318,Carvanha,0.8 m,20.8 kg,Water,Dark,Red,Sharpedo
#317,Swalot,1.7 m,80.0 kg,Poison,Unknown,Purple,Final
#316,Gulpin,0.4 m,10.3 kg,Poison,Unknown,Green,Swalot
#315,Roselia,0.3 m,2.0 kg,Grass,Poison,Green,Roserade
